Date : 2024-06-24 11:01:49
Directory : c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen
Total : 103 files,  7406 codes, 311 comments, 1445 blanks, all 9162 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\css\container_detallprod_usuario.css                          | CSS             |         54 |          4 |          6 |         64 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\css\container_listprod_usuario.css                            | CSS             |         47 |          3 |          6 |         56 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\css\dashboard.css                                             | CSS             |         50 |          0 |          9 |         59 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\css\e_Upedidos.css                                            | CSS             |         40 |          3 |         10 |         53 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\css\estilos.css                                               | CSS             |        104 |          1 |         30 |        135 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\css\estilos2.css                                              | CSS             |        104 |          0 |         16 |        120 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\css\estilos3.css                                              | CSS             |         57 |          0 |          9 |         66 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\css\footer.css                                                | CSS             |        101 |          6 |         10 |        117 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\css\gstyle.css                                                | CSS             |         31 |          3 |          2 |         36 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\css\header.css                                                | CSS             |         73 |          3 |          2 |         78 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\css\imagenes.css                                              | CSS             |        266 |         27 |         30 |        323 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\css\indexprincipal.css                                        | CSS             |        142 |         22 |         12 |        176 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\css\nosotros.css                                              | CSS             |         32 |          8 |          5 |         45 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\css\vPuntoVenta.css                                           | CSS             |         15 |          0 |          2 |         17 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\js\app.js                                                     | JavaScript      |         18 |          0 |          3 |         21 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\js\captcha.js                                                 | JavaScript      |         13 |          0 |          3 |         16 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\Login.html                                                 | HTML            |        187 |          4 |         40 |        231 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\aDashboard.html                                            | HTML            |        217 |          2 |         23 |        242 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\aHeader.html                                               | HTML            |         35 |          5 |          3 |         43 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\aIndexDashboard.html                                       | HTML            |         23 |          0 |          4 |         27 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\aMenu.html                                                 | HTML            |         57 |          0 |         16 |         73 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\aPedidos.html                                              | HTML            |        200 |          3 |         35 |        238 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\aProducto_editar.html                                      | HTML            |        166 |          2 |         22 |        190 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\aProductos.html                                            | HTML            |        158 |          2 |         23 |        183 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\aProductos_registrar.html                                  | HTML            |        125 |          2 |         18 |        145 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\aProveedor_editar.html                                     | HTML            |        150 |          2 |         22 |        174 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\aProveedor_registrar.html                                  | HTML            |        121 |          2 |         20 |        143 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\aProveedores.html                                          | HTML            |        203 |          3 |         20 |        226 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\aUsuarios.html                                             | HTML            |        172 |          2 |         25 |        199 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\aVentas.html                                               | HTML            |        183 |          3 |         29 |        215 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\error.html                                                 | HTML            |         14 |          0 |          3 |         17 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\uBody.html                                                 | HTML            |        217 |          4 |         22 |        243 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\uBodyCliente.html                                          | HTML            |        114 |         15 |         20 |        149 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\uCarritoCliente.html                                       | HTML            |        165 |          3 |         44 |        212 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\uDetalleProducto.html                                      | HTML            |        159 |          3 |         38 |        200 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\uFooter.html                                               | HTML            |         37 |          3 |          5 |         45 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\uHeader.html                                               | HTML            |         17 |          0 |          1 |         18 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\uHeaderUsuario.html                                        | HTML            |         20 |          4 |          1 |         25 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\uIndex.html                                                | HTML            |         41 |          2 |         18 |         61 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\uLoginUsuario.html                                         | HTML            |         42 |          2 |         15 |         59 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\uNavegador.html                                            | HTML            |         19 |          0 |          0 |         19 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\uNosotros.html                                             | HTML            |         59 |          2 |         16 |         77 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\vBienvenida.html                                           | HTML            |         61 |          2 |         25 |         88 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\vClientes.html                                             | HTML            |        133 |          2 |         23 |        158 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\vIndexVendedor.html                                        | HTML            |         22 |          0 |         10 |         32 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\vMenuVendedor.html                                         | HTML            |         57 |          0 |          9 |         66 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\vPedidos.html                                              | HTML            |        113 |          2 |         30 |        145 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\vProductos.html                                            | HTML            |        113 |          2 |         30 |        145 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\vPuntoVenta.html                                           | HTML            |        158 |          2 |         47 |        207 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\vVentas.html                                               | HTML            |        113 |          2 |         30 |        145 |
| c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\test\java\com\example\Almacen\AlmacenApplicationTests.java                          | Java            |          9 |          0 |          5 |         14 |
| Total                                                                                                                                                                   |                 |      7,406 |        311 |      1,445 |      9,162 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
