"filename", "language", "XML", "Batch", "Java Properties", "Java", "YAML", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\Producto\Producto.java", "Java", 0, 0, 0, 32, 0, 0, 0, 0, 0, 7, 39
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\Producto\ProductoControlador.java", "Java", 0, 0, 0, 268, 0, 0, 0, 0, 8, 55, 331
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\Producto\ProductoService.java", "Java", 0, 0, 0, 30, 0, 0, 0, 0, 0, 11, 41
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\Proveedor\IProveedor.java", "Java", 0, 0, 0, 14, 0, 0, 0, 0, 1, 5, 20
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\Proveedor\IProveedorService.java", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\Proveedor\Proveedor.java", "Java", 0, 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\Proveedor\ProveedorControlador.java", "Java", 0, 0, 0, 242, 0, 0, 0, 0, 4, 62, 308
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\Proveedor\ProveedorService.java", "Java", 0, 0, 0, 30, 0, 0, 0, 0, 0, 11, 41
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\Rol\IRol.java", "Java", 0, 0, 0, 11, 0, 0, 0, 0, 1, 5, 17
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\Rol\IRolService.java", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\Rol\Rol.java", "Java", 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\Rol\RolControlador.java", "Java", 0, 0, 0, 7, 0, 0, 0, 0, 0, 4, 11
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\SessionTimeoutFilter.java", "Java", 0, 0, 0, 49, 0, 0, 0, 0, 3, 11, 63
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\TestController.java", "Java", 0, 0, 0, 26, 0, 0, 0, 0, 0, 7, 33
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\Usuario\IUsuario.java", "Java", 0, 0, 0, 14, 0, 0, 0, 0, 1, 4, 19
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\Usuario\IUsuarioService.java", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\Usuario\Usuario.java", "Java", 0, 0, 0, 30, 0, 0, 0, 0, 0, 7, 37
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\Usuario\UsuarioControlador.java", "Java", 0, 0, 0, 255, 0, 0, 0, 0, 23, 54, 332
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\Usuario\UsuarioService.java", "Java", 0, 0, 0, 30, 0, 0, 0, 0, 0, 10, 40
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\application.properties", "Java Properties", 0, 0, 15, 0, 0, 0, 0, 0, 8, 7, 30
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\css\2e_Upedidos.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 40, 3, 10, 53
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\css\2footer.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 40, 1, 3, 44
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\css\2imagenes.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 288, 29, 32, 349
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\css\boleta_usuario.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 116, 5, 20, 141
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\css\container_detallprod_usuario.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 54, 4, 6, 64
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\css\container_listprod_usuario.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 47, 3, 6, 56
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\static\css\dashboard.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 50, 0, 9, 59
